number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
1, Afghanistan,1936,2016,103,7,0,0,2,2,0,0,0,0,0,0,0,0,Rohullah Nikpai (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
2, Albania,1972,2016,43,7,0,0,0,0,2006,2014,2,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,2,4,,TRUE,2018
3, Algeria,1964,2016,366,20,5,4,8,17,1992,2010,7,2,0,0,0,0,Taoufik Makhloufi (3 medals),Yes,,,,0,0,0,0,0,,7,,FALSE,2010
4, American Samoa,1988,2016,27,8,0,0,0,0,1994,1994,2,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,2,,FALSE,1994
5, Andorra,1976,2016,33,8,0,0,0,0,1976,2014,28,4,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,5,33,,TRUE,2018
6, Angola,1980,2016,163,11,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
7, Antigua and Barbuda,1976,2016,70,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
8, Argentina,1900,2016,"1,708",34,21,25,28,74,1928,2014,136,8,0,0,0,0,Carlos Espinola and Lucha Aymar (4 medals),Yes,,,,0,0,0,0,0,7,143,,TRUE,2018
9, Armenia,1996,2016,118,13,2,5,9,16,1994,2014,28,5,0,0,0,0,Artur Aleksanyan (2 medals),Yes,,,,0,0,0,0,0,3,31,,TRUE,2018
10, Aruba,1988,2016,32,10,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
11, Australasia,1908,1912,53,8,3,4,5,12,0,0,0,0,0,0,0,0,Harold Hardwick (3 medals),No,,,,0,0,0,0,0,,0,Australia and New Zealand,FALSE,0
12, Australia,1896,2016,"3,579",37,146,167,191,504,1924,2014,240,14,5,3,4,12,Leisel Jones and Ian Thorpe (9 medals),Yes,0,2,1,3,5,5,5,15,50,290,,TRUE,2018
13, Austria,1896,2016,"1,484",32,25,40,42,107,1924,2014,859,14,59,78,81,218,Felix Gottwald (7 medals),Yes,5,3,6,14,64,81,87,232,105,964,,TRUE,2018
14, Azerbaijan,1996,2016,180,18,7,12,25,44,1998,2014,13,2,0,0,0,0,Mariya Stadnik and Xetaq Qazyumov (3 medals),Yes,,,,0,0,0,0,0,1,14,,TRUE,2018
15, Bahamas,1952,2016,162,9,6,2,6,14,0,0,0,0,0,0,0,0,Chris Brown (4 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
16, Bahrain,1984,2016,90,8,1,1,1,3,0,0,0,0,0,0,0,0,3 athletes with 1 medal,Yes,,,,0,0,0,0,0,,0,,FALSE,0
17, Bangladesh,1984,2016,38,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
18, Barbados,1968,2016,115,13,0,0,1,1,0,0,0,0,0,0,0,0,Obadele Thompson (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
19, Belarus,1996,2016,603,25,13,28,43,84,1994,2014,160,10,6,4,5,15,5 athletes with 4 medals,Yes,2,1,0,3,8,5,5,18,33,193,,TRUE,2018
20, Belgium,1900,2016,"1,967",36,44,58,62,164,1924,2014,124,8,1,1,3,5,Hubert Van Innis (10 medals),Yes,0,1,0,1,1,2,3,6,22,146,,TRUE,2018
21, Belize,1968,2016,52,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
22, Benin,1972,2016,54,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
23, Bermuda,1936,2016,118,10,0,0,1,1,1992,2014,3,3,0,0,0,0,Clarence Hill (1 medal),Yes,,,,0,0,0,0,0,1,4,,TRUE,2018
24, Bhutan,1984,2016,21,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
25, Bohemia,1900,1912,66,9,0,1,5,6,0,0,0,0,0,0,0,0,3 athletes with 2 medals,No,,,,0,0,0,0,0,,0,Czechoslovakia and later the Czech Republic,FALSE,0
26, Bolivia,1936,2016,76,15,0,0,0,0,1956,1992,13,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,2,15,,TRUE,2018
27, Bosnia and Herzegovina,1992,2016,45,10,0,0,0,0,1994,2014,28,5,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,4,32,,TRUE,2018
28, Botswana,1980,2016,62,5,0,1,0,1,0,0,0,0,0,0,0,0,Nijel Amos (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
29, Brazil,1900,2016,"2,024",35,30,36,61,127,1992,2014,32,8,0,0,0,0,Torben Grael and Robert Scheidt (5 medals),Yes,,,,0,0,0,0,0,9,41,,TRUE,2018
30, British Virgin Islands,1984,2016,26,3,0,0,0,0,1984,2014,2,2,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,2,,FALSE,2014
31, Brunei,1996,2016,9,4,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
32, Bulgaria,1924,2016,"1,323",28,51,86,80,217,1936,2014,180,11,1,2,3,6,Mariya Grozdeva (5 medals),Yes,,,,0,1,2,3,6,21,201,,TRUE,2018
33, Burkina Faso,1972,2016,32,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
34, Burundi,1996,2016,25,3,1,1,0,2,0,0,0,0,0,0,0,0,Vénuste Niyongabo and Francine Niyonsaba (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
35, Cambodia,1964,2016,43,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
36, Cameroon,1964,2016,226,11,3,1,1,5,2002,2002,1,1,0,0,0,0,Francoise Mbango (2 medals),Yes,,,,0,0,0,0,0,,1,,FALSE,2002
37, Canada,1900,2016,"3,543",39,64,104,136,304,1924,2014,"1,279",15,62,56,52,170,Clara Hughes and Cindy Klassen (6 medals),Yes,11,8,10,29,73,64,62,199,225,1504,,TRUE,2018
38, Cape Verde,1996,2016,13,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
39, Cayman Islands,1976,2016,38,4,0,0,0,0,2010,2014,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,1,,FALSE,2014
40, Central African Republic,1968,2016,50,9,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
41, Chad,1964,2016,27,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
42, Chile,1912,2016,475,26,2,7,4,13,1948,2014,50,4,0,0,0,0,Fernando Gonzalez (3 medals),Yes,,,,0,0,0,0,0,7,57,,TRUE,2018
43, China,1932,2016,"2,354",36,227,162,154,543,1980,2014,311,11,12,22,19,53,Wu Minxia (7 medals),Yes,1,6,2,9,13,28,21,62,80,391,,TRUE,2018
44, Chinese Taipei,1956,2016,522,25,3,7,14,24,1972,2014,44,8,0,0,0,0,4 athletes with 2 medals,Yes,,,,0,0,0,0,0,4,48,,TRUE,2018
45, Colombia,1900,2016,616,25,5,8,14,27,2010,2010,1,1,0,0,0,0,6 athletes with 2 medals,Yes,,,,0,0,0,0,0,4,5,,TRUE,2018
46, Comoros,1996,2016,15,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
47, Congo (Brazzaville),1964,2016,74,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
48, Congo (Kinshasa),1968,2016,69,8,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
49, Cook Islands,1988,2016,30,6,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
50, Costa Rica,1936,2016,149,16,1,1,2,4,1980,2006,7,3,0,0,0,0,Claudia Poll (3 medals),Yes,,,,0,0,0,0,0,,7,,FALSE,2006
51, Cote d'Ivoire,1964,2016,124,12,1,1,1,3,0,0,0,0,0,0,0,0,3 athletes with 1 medal,Yes,,,,0,0,0,0,0,,0,,FALSE,0
52, Croatia,1992,2016,381,22,11,10,12,33,1992,2014,51,7,4,6,1,11,Janica Kostelic (6 medals),Yes,,,,0,4,6,1,11,19,70,,TRUE,2018
53, Cuba,1900,2016,"1,283",30,76,67,70,213,0,0,0,0,0,0,0,0,Ramon Fonst (5 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
54, Cyprus,1980,2016,106,12,0,1,0,1,1980,2014,14,1,0,0,0,0,Pavlos Kontides (1 medal),Yes,,,,0,0,0,0,0,1,15,,TRUE,2018
55, Czech Republic,1996,2016,470,28,15,17,22,54,1994,2014,267,14,7,9,8,24,Katerina Neumannova (6 medals),Yes,2,2,3,7,9,11,11,31,93,360,,TRUE,2018
56, Czechoslovakia,1920,1992,"1,619",30,49,50,47,146,1924,1992,480,11,2,8,15,25,Vera Cáslavská (11 medals),No,,,,0,2,8,15,25,,480,Czech Republic and Slovakia,FALSE,1992
57, Denmark,1896,2016,"1,861",30,48,80,80,208,1948,2014,58,8,0,1,0,1,3 athletes with 5 medals,Yes,,,,0,0,1,0,1,17,75,,TRUE,2018
58, Djibouti,1984,2016,28,5,0,0,1,1,0,0,0,0,0,0,0,0,Ahmed Salah (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
59, Dominica,1996,2016,16,2,0,0,0,0,2014,2014,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,1,,FALSE,2014
60, Dominican Republic,1964,2016,208,19,3,2,2,7,0,0,0,0,0,0,0,0,Félix Sánchez (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
61, East Germany,1968,1988,"1,129",21,153,129,127,409,1968,1988,232,10,39,36,35,110,3 athletes with 8 medals,No,,,,0,39,36,35,110,,232,Germany,FALSE,1988
62, Ecuador,1924,2016,158,18,1,1,0,2,2018,0,0,0,0,0,0,0,Jefferson Pérez (2 medals),Yes,,,,0,0,0,0,0,1,1,,TRUE,2018
63, Egypt,1906,2016,999,30,7,8,12,27,1984,1984,1,1,0,0,0,0,3 athletes with 2 medals,Yes,,,,0,0,0,0,0,,1,,FALSE,1984
64, El Salvador,1932,2016,126,14,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
65, Equatorial Guinea,1984,2016,26,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
66, Eritrea,2000,2016,26,2,0,0,1,1,2018,0,0,0,0,0,0,0,Zersenay Tadesse (1 medal),Yes,,,,0,0,0,0,0,1,1,,TRUE,2018
67, Estonia,1920,2016,260,22,9,9,16,34,1928,2014,94,8,4,2,1,7,Kristina Šmigun-Vähi and Andrus Veerpalu (3 medals),Yes,,,,0,4,2,1,7,22,116,,TRUE,2018
68, Ethiopia,1956,2016,231,4,22,9,22,53,2006,2010,1,1,0,0,0,0,Tirunesh Dibaba (6 medals),Yes,,,,0,0,0,0,0,,1,,FALSE,2010
69, Federated States of Micronesia,2000,2016,18,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
70, Fiji,1956,2016,126,12,1,0,0,1,1988,2002,2,2,0,0,0,0,13 athletes with 1 medal,Yes,,,,0,0,0,0,0,,2,,FALSE,2002
71, Finland,1906,2016,"1,626",29,106,86,120,312,1924,2014,723,12,42,62,57,161,Paavo Nurmi (12 medals),Yes,1,1,4,6,43,63,61,167,100,823,,TRUE,2018
72, France,1896,2016,"5,353",43,232,251,285,768,1924,2014,823,16,31,31,47,109,Philippe Cattiau and Roger Ducret (8 medals),Yes,5,4,6,15,36,35,53,124,106,929,,TRUE,2018
73, Gabon,1972,2016,48,6,0,1,0,1,0,0,0,0,0,0,0,0,Anthony Obame (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
74, Gambia,1984,2016,33,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
75, Georgia,1996,2016,152,19,8,6,18,32,1994,2014,15,4,0,0,0,0,5 athletes with 2 medals,Yes,,,,0,0,0,0,0,4,19,,TRUE,2018
76, Germany,1896,2016,"3,976",39,230,258,282,770,1928,2014,891,15,86,84,58,228,Isabell Werth and Franziska van Almsick (10 medals),Yes,14,10,7,31,100,94,65,259,156,1047,,TRUE,2018
77, Ghana,1952,2016,244,7,0,1,3,4,2010,2010,1,1,0,0,0,0,23 athletes with 1 medal,Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
78, Great Britain,1896,2016,"5,646",44,272,313,293,878,1924,2014,642,16,10,4,12,26,Henry Taylor and Bradley Wiggins (8 medals),Yes,1,0,4,5,11,4,16,31,58,700,,TRUE,2018
79, Greece,1896,2016,"1,643",36,42,57,54,153,1936,2014,66,8,0,0,0,0,3 athletes with 4 medals,Yes,,,,0,0,0,0,0,4,70,,TRUE,2018
80, Grenada,1984,2016,44,4,1,1,0,2,0,0,0,0,0,0,0,0,Kirani James (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
81, Guam,1988,2016,65,10,0,0,0,0,1988,1988,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,1,,FALSE,1988
82, Guatemala,1932,2016,234,19,0,1,0,1,1988,1988,6,2,0,0,0,0,Erick Barrondo (1 medal),Yes,,,,0,0,0,0,0,,6,,FALSE,1988
83, Guinea,1968,2016,60,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
84, Guinea Bissau,1996,2016,15,3,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
85, Guyana,1948,2016,75,6,0,0,1,1,0,0,0,0,0,0,0,0,Michael Anthony (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
86, Haiti,1900,2016,76,12,0,1,1,2,0,0,0,0,0,0,0,0,7 athletes with 1 medal,Yes,,,,0,0,0,0,0,,0,,FALSE,0
87, Honduras,1968,2016,131,12,0,0,0,0,1992,1992,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,1,,FALSE,1992
88, Hong Kong,1952,2016,317,20,1,1,1,3,2002,2014,4,1,0,0,0,0,4 athletes with 1 medal,Yes,,,,0,0,0,0,0,1,5,,TRUE,2018
89, Hungary,1896,2016,"2,566",32,178,154,173,505,1924,2014,206,10,0,2,4,6,Aladár Gerevich and Ágnes Keleti (10 medals),Yes,1,0,0,1,1,2,4,7,19,225,,TRUE,2018
90, Iceland,1908,2016,223,12,0,2,2,4,1948,2014,75,3,0,0,0,0,17 athletes with 1 medal,Yes,,,,0,0,0,0,0,5,80,,TRUE,2018
91, India,1900,2016,871,23,9,7,12,28,1924,2014,21,4,0,0,0,0,Leslie Claudius and Udham Singh (4 medals),Yes,,,,0,0,0,0,0,2,23,,TRUE,2018
92, Individual Olympic Athletes,1992,2016,75,16,1,1,3,5,2014,2014,1,1,0,0,0,0,5 athletes with 1 medal,Yes,,,,0,0,0,0,0,,1,,FALSE,2014
93, Indonesia,1952,2016,275,20,7,12,11,30,0,0,0,0,0,0,0,0,Eko Irawan (3 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
94, Iran,1900,2016,502,22,18,21,29,68,1956,2014,24,2,0,0,0,0,3 athletes with 3 medals,Yes,,,,0,0,0,0,0,4,28,,TRUE,2018
95, Iraq,1948,2016,194,14,0,0,1,1,0,0,0,0,0,0,0,0,Abdul Wahid Aziz (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
96, Ireland,1924,2016,772,26,9,11,13,33,1992,2014,27,5,0,0,0,0,Michelle Smith (4 medals),Yes,,,,0,0,0,0,0,5,32,,TRUE,2018
97, Israel,1952,2016,340,23,1,1,7,9,1994,2014,13,3,0,0,0,0,Gal Fridman (2 medals),Yes,,,,0,0,0,0,0,10,23,,TRUE,2018
98, Italy,1896,2016,"3,996",36,219,189,197,605,1924,2014,938,16,37,34,43,114,Edoardo Mangiarotti (13 medals),Yes,3,2,5,10,40,36,48,124,120,1058,,TRUE,2018
99, Jamaica,1948,2016,359,14,23,33,22,78,1988,2014,11,2,0,0,0,0,Merlene Ottey-Page and Usain Bolt (9 medals),Yes,,,,0,0,0,0,0,3,14,,TRUE,2018
100, Japan,1912,2016,"3,273",37,142,134,165,441,1928,2014,798,15,10,17,18,45,Takashi Ono (13 medals),Yes,4,5,4,13,14,22,22,58,124,922,,TRUE,2018
101, Jordan,1980,2016,61,12,1,0,0,1,0,0,0,0,0,0,0,0,Ahmad Abughaush (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
102, Kazakhstan,1996,2016,502,25,19,22,29,70,1994,2014,192,11,1,3,3,7,Vladimir Smirnov (4 medals),Yes,0,0,1,1,1,3,4,8,46,238,,TRUE,2018
103, Kenya,1956,2016,514,15,31,38,31,100,1998,2006,1,1,0,0,0,0,Kip Keino and Vivian Cheruiyot (4 medals),Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
104, Kiribati,2004,2016,9,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
105, Kosovo,2016,2016,8,5,1,0,0,1,2018,0,0,0,0,0,0,0,Majlinda Kelmendi (1 medal),Yes,,,,0,0,0,0,0,35,35,,TRUE,2018
106, Kuwait,1968,2012,192,13,0,0,2,2,0,0,0,0,0,0,0,0,Fehaid Al-Deehani (2 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
107, Kyrgyzstan,1996,2016,122,13,0,1,2,3,1994,2014,7,4,0,0,0,0,3 athletes with 1 medal,Yes,,,,0,0,0,0,0,1,8,,TRUE,2018
108, Laos,1980,2016,47,7,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,2,2,,TRUE,2018
109, Latvia,1924,2016,253,20,3,11,5,19,1924,2014,194,12,0,4,3,7,Andris Šics and Juris Šics (3 medals),Yes,0,0,1,1,0,4,4,8,34,228,,TRUE,2018
110, Lebanon,1948,2016,146,14,0,2,2,4,1948,2014,31,3,0,0,0,0,4 athletes with 1 medal,Yes,,,,0,0,0,0,0,3,34,,TRUE,2018
111, Lesotho,1972,2016,51,5,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
112, Liberia,1956,2016,42,2,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
113, Libya,1968,2016,68,10,0,0,0,0,0,0,0,0,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,,0,,FALSE,0
114, Liechtenstein,1936,2016,52,8,0,0,0,0,1936,2014,80,4,2,2,5,9,Hanni Wenzel (4 medals),Yes,0,0,1,1,2,2,6,10,3,83,,TRUE,2018
